tweet,relevant
"Our Mountain Lions are ""Capturing Kid's Hearts"" by demonstrating thier knowledge of Empathy 💛🖤 @westcovinausd @iheartckh https://t.co/k7FisOCCvw",0
Awesome tasty fruit pop treat every Bobcat today thanks to our PFO and our amazing community #PFOMemberDrive https://t.co/nMdrXoFOCc,0
@MattfromKC Idk but he looks like Bobcat Goldthwait,0
Mountain lion attacks dog; bear chills at local San Dimas elementary school. What all the wild animal visits to foothill cities abutting the Angeles National Forest? https://t.co/B9rjriP1Ku,1
In Defense of Animals gives #SaveLACougars a giant check to help build the Wallis Annenberg #WildlifeCrossing so cougars and bobcats can find mates and survive in #LosAngeles! #101WildlifeCrossing https://t.co/rF75YMbIsM,1
no one can be as bad as that charlotte bobcats team https://t.co/fw4Nsf6q3O,0
Mountain lion work. ®️👁‍🗨✖️ https://t.co/bnJjn6hubM,0
@TimMacias @w_sgvscanner2 Indeed! Had a Mountain Lion on Veterans Day. That was a first.,0
"LouAnne is my wife. This is our yard! @Chris_Meloni @Mariska Ravens, Bobcats, Deer, Oh My! A Suburban Backyard Turns Into a Wildlife Oasis https://t.co/8liHueSlI0 via @sunset",1
"There's a little bit of money in here for wildlife bridges over freeways. Yay for the genetic diversity of LA's mountain lions :)
https://t.co/ANjLYufP8v",1
"2017 Bobcat E50 #excavator ⏬

A/C, hydraulic bucket disconnect, hydraulic thumb, blade, 2 speed, rubber tracks, 50 HP &amp; 2410 hours, listed by Bryan's Farm &amp; Industrial Supply: https://t.co/mJ1NrtyAzI

#OntAg #FarmEquipment #Bobcat #Machinery #AgTwitter https://t.co/s1gCxXjU7b",0
"After 4 nights away and several reports from neighbors of predators including videos of #bobcat and #coyote Floofles the #zen master returned and ate a big bellyfull. #feral #cats 😻 @ Los Angeles, California https://t.co/7DWK1sovCj",1
@tylerjanke I legit thought u were talking about this bobcat https://t.co/gwaAmH0ZLg,1
"@ai6yrham Yeah I’ve gotten many voicemails, text alerts and email notices of the mountain lion in our neighborhood this week.",1
