date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant,neg_sent_score,neu_sent_score,pos_sent_score,compound_sent_score,sent_class,query_location
2021-12-30,01:52:59,@JoshThrashMetal I AM the ruckus out here. Although he coyotes are more obnoxious than me at night Mf’ers!!! 🤣,1476370700138999808,[],1205924348344668161,meatloafgrrr,"Redding, CA",219,False,,,0.0,0.147,0.74,0.113,-0.2427,negative,
2022-01-09,09:45:49,@MeineOlle Ditto but she also protects my other animals from coyotes/bobcats. It’s so hard to train a dog to not chase or kill chickens. She really is the whole package. What breed is your boy?,1480113571694448643,[],1205924348344668161,meatloafgrrr,"Redding, CA",221,False,,,1.0,0.054,0.755,0.19,0.7755,positive,
2022-01-16,14:25:07,@steves_simpson Those are adorable!!! The grey foxes here look like coyotes. It’s actually hard to tell from a distance which is which. Sadly the fox are my enemy too 💔 https://t.co/Q5CxjlwuEx,1482720576636534785,[],1205924348344668161,meatloafgrrr,"Redding, CA",225,False,,,0.0,0.231,0.513,0.256,0.2905,positive,
2022-01-23,22:04:48,"📍 New Listing 📍 Take a look at this fantastic new property that just hit the market located at 13205 Coyote Ln in Red Bluff. Reach out here or at (530) 355-5627 for more information!

Listed by Chris Mazorra

Irene Ruiz, Real Est... https://t.co/JjqYCIxbS5 https://t.co/rWUoXf9nnY",1485372974555402241,[],31979825,I_R_Realtor,"Shasta Lake, CA",108,False,,,0.0,0.0,0.889,0.111,0.685,positive,
2022-01-21,17:59:19,"@notcapnamerica I find bear scat, but they never seem to try and get into my dog yard. Nevertheless, dogs are in at night. I'm more afraid of coyotes. I walked out once late at night to see what the dogs were fussing about, and confronted a pair of glowing eyes. I walked backward to the house.",1484586418722598915,[],23686876,Belinda_McBride,"Shasta County, CA",2247,True,,,1.0,0.038,0.962,0.0,-0.296,negative,
2022-01-29,06:08:48,"@Sam_Sacks Yeah it scales *pretty* easily from a few to a few dozen. Biggest issue is keeping them safe from coyotes/raccoons, but the right dog solves that problem",1487306716068909056,[],954454855610916864,jhensonpogue,"Dunsmuir, California",5175,True,,,1.0,0.103,0.639,0.258,0.3291,positive,
2022-02-22,15:40:12,"The Coyote Valley Band of Pomo Indians is pushing for conservation. Trees wouldn’t be cut. Studies carried out would be in service of healing the forest. Nothing would be done for profit.“We don’t put a value on our relatives."" Some call this a ""brave new world of possibilities.""",1496147820847452161,[],1361359061950758914,ShastaScout,"Redding, CA",154,False,,,0.0,0.04,0.851,0.11,0.5719,positive,redding
2022-02-24,17:33:10,"@newberg_sean If you feed the stray/feral cats, they eat birds. They lure coyotes that eat pet cats and chickens. If you feed  deer, that brings mountain lions and bear, which also eat cats, dogs, chickens...etc. 
We feed birds. 
Honestly, its sad because a lot of the cats are fire survivors.",1496901026628046848,[],23686876,Belinda_McBride,"Shasta County, CA",2261,True,,,1.0,0.099,0.847,0.054,-0.3612,negative,redding
2022-03-05,04:46:10,"#GoodNight #publiclands. I love you because you contain all history. You remain through peace and conflict, standing watch over ocotillo, saguaro, cholla. Your rocks hold stories coyotes sing. https://t.co/svgdckL2RT",1499969495879733248,"['GoodNight', 'publiclands']",714629671321600002,publiclandlvr,#shastacascade,8002,True,,,0.0,0.064,0.722,0.214,0.7506,positive,redding
2022-03-10,03:34:56,"@zoecology I am biased and should have recused myself 

They are all good coyotes",1501763508152635392,[],606857748,AcmeHuntingGear,"Redding, CA",377,True,,,0.0,0.124,0.706,0.171,0.2023,positive,redding
2022-03-18,05:49:04,brought to you by An Uneasy Partnership of Coyotes (pronounced like a Midwestern saying kai-oaties of course),1504696366613905441,[],609434037,nat_larimer,Motion City,590,True,,,0.0,0.129,0.746,0.124,-0.0258,neutral,redding
2022-04-01,16:23:20,"@iamalsorg @US_FDA Nothing like 2nd, 3rd, 4th, ., ., ., chances, got to admit feels like watching Wiley coyote &amp; the roadrunner. Wiley's best intentions and plans never work out in cartoon land. We in #ALSLand just keep watching and waiting on #FDA.

I'd prefer the FDA were more like Popeye. https://t.co/acaW1tNDqU",1509929415412645890,"['ALSLand', 'FDA']",1336317266414116864,glen_rouse,"Redding, CA",549,False,,,0.0,0.034,0.752,0.214,0.8745,positive,redding
2022-03-28,00:46:41,"@GinaGoesOutside I was watching three coyotes one time get up from a nap under a tree, start yip howling, and I swear it sounded like nice or fifteen of them.

BTW I saw one this morning 😀",1508244148867850246,[],606857748,AcmeHuntingGear,"Redding, CA",377,True,,,1.0,0.028,0.791,0.181,0.765,positive,redding
2022-04-06,04:24:14,"@bluewoodsmoke @FourthAlt Foxes can't breed with dogs, wolves, coyotes, or hyenas they all have 78 chromosomes while foxes have 34. Even though they're in the canidae family there's around 4.2 million years between them and their closest genetic relative that looked a little like a hyena known as Miacids.",1511560388634034178,[],312205565,DankSideTales,"Bella Vista, California",428,False,,,1.0,0.0,0.956,0.044,0.2975,positive,redding
2022-04-06,04:11:51,"@debrahubert51 @FourthAlt @GerriisalsoGigi Fox cant breed with Wolves or Coyotes. Wolves, domestic dogs, and coyotes all have 78 chromosomes, and foxes have 34. Evidences suggests Foxes may have evolved from a non-cannid ancestor similar to a hyena around 4.2 million years ago.",1511557272115171337,[],312205565,DankSideTales,"Bella Vista, California",428,False,,,1.0,0.0,1.0,0.0,0.0,neutral,redding
2022-04-08,05:29:28,The coyotes I hear all night might be the reason for the lack of neighborhood cats at the new place,1512301580757843975,[],137946441,Dev14e,Redwoods,1266,True,,,1.0,0.108,0.892,0.0,-0.3182,negative,redding
2022-04-20,17:23:23,@palvaro I could swear I saw a 🦊 in pinnacles but people keep trying to convince me that it must have been a coyote,1516829899155148800,[],137946441,Dev14e,Redwoods,1283,True,,,0.0,0.041,0.865,0.094,0.34,positive,redding
2022-04-20,15:33:40,@pchrysafis The question I have is why feral pigs aren’t taking more coyotes,1516802286307008516,[],606857748,AcmeHuntingGear,"Redding, CA",387,True,,,0.0,0.0,1.0,0.0,0.0,neutral,redding
