"","id","county","x.cen","y.cen","xmin","xmax","ymin","ymax","sqkm","inclusion","ppt"
"1",1,"DEL NORTE",-346634.202454582,444962.48327946,-124.211706259226,-124.139810173937,41.9087999589812,41.9988934900061,51.885479441561,0.51885479441561,1968.08529603248
"2",2,"DEL NORTE",-339026.012762516,444758.803236186,-124.144886096554,-124.019604986185,41.9109795268281,41.9979693926821,93.7311252983847,0.937311252983847,2331.37075014468
"3",3,"DEL NORTE",-329018.435301485,444501.464499432,-124.02424867698,-123.89938686625,41.9148595254593,41.9968262701438,88.5931825558468,0.885931825558468,2741.38874511719
"4",4,"DEL NORTE",-319022.354956721,444282.001772355,-123.903664354882,-123.779156198694,41.9186252841437,41.9965955429317,84.2007804835227,0.842007804835227,2432.514503479
"5",5,"DEL NORTE",-309025.006094872,444118.775645314,-123.783108089503,-123.658913368316,41.9222767829744,41.9977398810667,80.9326536868628,0.809326536868628,2094.02651855469
"6",6,"SISKIYOU",-298961.894611576,444103.766554101,-123.662540212787,-123.538658760151,41.9258140026416,42.0015183011151,80.6367558901876,0.806367558901876,1882.4403039733
"7",7,"SISKIYOU",-289025.78773308,443955.214661288,-123.542247614763,-123.418392759462,41.9292369244335,42.0012004679666,77.6642172684084,0.776642172684084,1795.58586600167
"8",8,"SISKIYOU",-279016.619874618,443712.226217232,-123.421657000405,-123.29811575173,41.9325455302369,42.0005288157293,72.811422400951,0.72811422400951,1477.89614606585
"9",9,"SISKIYOU",-268945.493644162,443736.320636101,-123.301126950855,-123.177828122651,41.9357398025378,42.0060872324536,73.3004409196889,0.733004409196889,1348.08128574916
"10",10,"SISKIYOU",-259025.606985993,443784.521224509,-123.180840620891,-123.057530258121,41.9388197244224,42.0088590053987,74.2381763210125,0.742381763210125,1043.1439111682
"11",11,"SISKIYOU",-249025.926176194,443475.086318304,-123.060274834208,-122.937222544239,41.9417852795773,42.005483891277,68.063773729407,0.680637737294071,1136.54537511755
"12",12,"SISKIYOU",-239012.774223221,443318.219163948,-122.939698704967,-122.816905367291,41.9446364522904,42.0046534477501,64.9367198448676,0.649367198448676,1082.17817179362
"13",13,"SISKIYOU",-229009.852416069,443185.957956275,-122.819179009638,-122.696579113746,41.9473732274514,42.0050117154767,62.2934274260777,0.622934274260777,764.945331827799
"14",14,"SISKIYOU",-218986.197139714,443078.292855189,-122.698669559799,-122.576244170248,41.9499955905525,42.0069399575048,60.1460740617962,0.601460740617962,596.435295553768
"15",15,"SISKIYOU",-208992.19923719,443077.685566187,-122.578220287369,-122.45590092361,41.9525035276889,42.008563271385,60.1330153973529,0.601330153973529,579.127111138238
"16",16,"SISKIYOU",-198988.838899737,443014.001299439,-122.45774693161,-122.335549760806,41.954897025559,42.0096642684671,58.861334483101,0.58861334483101,498.277600708008
"17",17,"SISKIYOU",-189051.668065018,442883.523611341,-122.337277118062,-122.21519106896,41.9571760714654,42.0098348672662,56.2136877944193,0.562136877944193,536.841204833984
"18",18,"SISKIYOU",-179029.988076423,442693.210246923,-122.216709443905,-122.094825235344,41.9593406533152,42.0079876115612,52.4285142055866,0.524285142055866,531.20979675293
"19",19,"DEL NORTE",-347296.469055117,434745.373444464,-124.231220885777,-124.134565019403,41.8176731272449,41.9109795268281,65.5519674734615,0.655519674734615,1764.32382381664
"20",20,"DEL NORTE",-338976.58122278,435070.87278788,-124.139810173937,-124.014511762093,41.8208758188866,41.9148595254593,100,1,2372.01433648003
"21",21,"DEL NORTE",-328976.58122278,435070.87278788,-124.019604986185,-123.89444562164,41.8247504339647,41.9186252841437,100,1,2651.06420166016
"22",22,"DEL NORTE",-318976.58122278,435070.87278788,-123.89938686625,-123.774366981151,41.8285109665883,41.9222767829744,100,1,2242.24930175781
"23",23,"SISKIYOU",-308976.58122278,435070.87278788,-123.779156198694,-123.654276223974,41.8321573969689,41.9258140026416,100,1,2312.18010009766
"24",24,"SISKIYOU",-298976.58122278,435070.87278788,-123.658913368316,-123.534173733689,41.835689705912,41.9292369244335,100,1,2389.87710639106
"25",25,"SISKIYOU",-288976.58122278,435070.87278788,-123.538658760151,-123.414059894103,41.8391078748172,41.9325455302369,100,1,1630.57650024414
"26",26,"SISKIYOU",-278976.58122278,435070.87278788,-123.418392759462,-123.29393508924,41.8424118856794,41.9357398025378,100,1,1357.09179931641
"27",27,"SISKIYOU",-268976.58122278,435070.87278788,-123.29811575173,-123.173799703336,41.845601721089,41.9388197244224,100,1,1431.4633972168
"28",28,"SISKIYOU",-258976.58122278,435070.87278788,-123.177828122651,-123.053654120829,41.8486773642329,41.9417852795773,100,1,1105.31679992676
"29",29,"SISKIYOU",-248976.58122278,435070.87278788,-123.057530258121,-122.933498726355,41.8516387988953,41.9446364522904,100,1,1196.32777913411
"30",30,"SISKIYOU",-238976.58122278,435070.87278788,-122.937222544239,-122.813333904738,41.8544860094577,41.9473732274514,100,1,906.914397583008
"31",31,"SISKIYOU",-228976.58122278,435070.87278788,-122.816905367291,-122.693160040983,41.8572189809001,41.9499955905525,100,1,683.22479675293
"32",32,"SISKIYOU",-218976.58122278,435070.87278788,-122.696579113746,-122.572977520272,41.8598376988011,41.9525035276889,100,1,635.141999511719
"33",33,"SISKIYOU",-208976.58122278,435070.87278788,-122.576244170248,-122.45278672795,41.8623421493389,41.954897025559,100,1,451.517222764757
"34",34,"SISKIYOU",-198976.58122278,435070.87278788,-122.45590092361,-122.332588049523,41.8647323192913,41.9571760714654,100,1,467.84289855957
"35",35,"SISKIYOU",-188976.58122278,435070.87278788,-122.335549760806,-122.21238187065,41.8670081960369,41.9593406533152,100,1,710.982999267578
"36",36,"SISKIYOU",-178976.58122278,435070.87278788,-122.21519106896,-122.092168577133,41.8691697675549,41.9613907596205,100,1,501.552499084473
"37",37,"SISKIYOU",-168976.58122278,435070.87278788,-122.094825235344,-121.971948554912,41.8712170224258,41.9633263794983,100,1,373.362801208496
"38",38,"SISKIYOU",-158976.58122278,435070.87278788,-121.974452647367,-121.851722190057,41.8731499498319,41.965147502672,100,1,369.384333970812
"39",39,"SISKIYOU",-148976.58122278,435070.87278788,-121.854073692569,-121.731489868759,41.8749685395578,41.9668541194708,100,1,321.484100646973
"40",40,"SISKIYOU",-138976.58122278,435070.87278788,-121.733688758614,-121.611251977326,41.8766727819905,41.9684462208305,100,1,294.233200073242
"41",41,"SISKIYOU",-128976.58122278,435070.87278788,-121.613298233279,-121.491008902171,41.8782626681199,41.9699237982939,99.9999999999999,0.999999999999999,304.563400268555
"42",42,"SISKIYOU",-118976.58122278,435070.87278788,-121.492902504453,-121.370761029809,41.8797381895393,41.9712868440107,100,1,288.364224243164
"43",43,"MODOC",-108976.58122278,435070.87278788,-121.372501960121,-121.250508746847,41.8810993384455,41.9725353507386,100,1,312.50210144043
"44",44,"MODOC",-98976.58122278,435070.87278788,-121.252096988366,-121.130252439977,41.8823461076393,41.9736693118426,100,1,354.454099121094
"45",45,"MODOC",-88976.58122278,435070.87278788,-121.131687977352,-121.009992495968,41.8834784905253,41.9746887212959,100,1,369.47490020752
"46",46,"MODOC",-78976.58122278,435070.87278788,-121.011275315326,-120.889729301661,41.884496481113,41.9755935736802,100,1,429.186999206543
"47",47,"MODOC",-68976.58122278,435070.87278788,-120.890859390601,-120.769463243958,41.8854000740161,41.9763838641852,100,1,493.636554633247
"48",48,"MODOC",-58976.58122278,435070.87278788,-120.770440591556,-120.649194709817,41.8861892644534,41.9770595886097,100,1,558.041099243164
"49",49,"MODOC",-48976.58122278,435070.87278788,-120.650019306625,-120.528924086244,41.8868640482486,41.9776207433611,100,1,518.31319732666
"50",50,"MODOC",-38976.58122278,435070.87278788,-120.52959592429,-120.408651760285,41.8874244218305,41.9780673254557,100,1,363.218399963379
"51",51,"MODOC",-28976.58122278,435070.87278788,-120.409170833074,-120.288378119019,41.8878703822335,41.978399332519,100,1,480.135400085449
"52",52,"MODOC",-18976.58122278,435070.87278788,-120.288744421533,-120.168103549549,41.8882019270971,41.9786167627855,100,1,934.265776231554
"53",53,"MODOC",-8976.58122278,435070.87278788,-120.168317078247,-120.047828439,41.8884190546664,41.9787196150992,100,1,694.230497741699
