tweet	check
"Defender Radio Live: Canid Response Teams and Coexistence Lesley Sampson of Coyote Watch Canada joins Defender Radio Podcast host Michael Howie for a live event and recording in Hamilton, Ontario.  https://t.co/jLycjr3Xv7"	0
Yaw ____. Good Morning Twitter Family ___	0
"At this moment, I have a neighbor that lives 750 away. He keeps his two Labrador retrievers in a 15’ish square pen with a roof outside at night. How do I know this? Because I came hear them barking. Constantly. 

Apparently they just won a debate with the coyotes. https://t.co/oJV5Swuc3f"	0
"@AstroBackyard Had the coyotes barking within a few hundred feet of me in Joshua Tree tonight. I shined a light in their direction to let them know I’m aware of them. Oddly, one sounded like a dog.

What freaked me out more were the hikers somewhere in the dark. I just heard foot steps!"	1
"really just saw a coyote cross the street and stare at me as i drove by ______ what the, la habra heights"	1
my dog just scared tf out of a coyote then chased it off trying to square up__ this mf i own gives zero shits he said get tf off my lawn	1
@shenjonsin but the coyotes !	
To make it worse no one else saw the coyote bruh	1
"my enemy the big coyote ran in front of my car tonight, but i couldn’t end him like that. if i ever catch him it’ll be on though"	1
Wile E Coyote was a victim. The Road Runner is a fascist. https://t.co/GAaWTJ7xSu	0
"What comes to mind is that there was a new baby, dog, or a significant other who is allergic to cats. But there have to be better options than letting the cat fend for itself - at night - when our community is bustling with coyotes."	1
"@WhatSayU_2020 @DineshDSouza Some children were brought here by coyotes [human smugglers]. In other cases, U.S. border officials separated children from their parents, and deported the parents.

A federal court compelled the collection of contact information for parents, but poor records were maintained."	0
"Saw 2 coyotes last night(almost hit one cuz it was a dark street), an owl fly past my windshield the night before.. what’s on the menu today? A peacock?"	1
#CoyoteCreekChristmas charms from beginning to end and each of the characters are as endearing as the love story. https://t.co/IwkOBwqaDj https://t.co/QkSViTV4iB	0
@GlennMarFano1 Some people don’t know him	0
"@FlorenceHRS We were hiking once near San Diego and a small coyote came onto the path…it was soooo cute, but was also low-key scared it’s older family members would come, it scampered off rather quickly"	1
this is insane bro went out like wile e. coyote https://t.co/Z4PGC8bhUN	0
@Skyler4149 Yummy __	0
@EmbryEthan @MartaFKauffman Coyote is great.	0
@NotAlexis What’s your stance on coyotes?	0
"@CanaansDad1969 California, Chicago, Connecticut"	0
YES....... LOST TO THE COYOTES &amp; DRUG DEALERS....   :D https://t.co/XqFQ99yV6C	0
"Kraken @ Coyotes 11/6/21 | NHL Highlights - NHL
https://t.co/zpdE5rGSJa"	0
"NHL Highlights | Kraken vs. Coyotes - Nov. 6, 2021 - SPORTSNET
https://t.co/Smcp74bDq8"	0
@abobrow Never forget the coyotes we’ve lost to falling pianos	0
"Let me see one more coyote and I’m finding me a new job, better ask bout me. I seen a bat at my last job and ain’t been back since________"	1
Ok I made it safe no coyote chased me	1
Just got off work and seen a coyote… I just if I miss this stop bc I dead ass turned around for a sec	1
The Seattle Kraken lost to the Arizona Coyotes………… The Ducks are gonna murder them on the 11th	0
Letting the Coyotes score 1 goal is bad enough….but 5?!?!	0
@SomeHart Sounds like coyotes. __	1
Wtf kind of coyote fox hybrid https://t.co/5XSxMnTHxz	1
Ryan’s out here feeding a coyote as if it’s not rabid __	1
"@acchodges @jonniker Oh, interesting. Not that coyote is any better than fox, really..."	1
Joni Mitchell with The Band - Coyote (The Last Waltz) https://t.co/Qt9bhia7n4	0
@opinion_joe Am finally listening to THE SHRINK NEXT DOOR. You owe the canyon coyotes an apology as my periodic screams of gleefully horrified shock as I hike and listen is alarming them.	1
Oh…and I got Canelo with a 6th round KO tonight…Plant CANT Plant and trade punches…Gotta run like Roadrunner from Wylie Coyote all night	0
"Coyotes @ Ducks 11/5/21 | NHL Highlights - NHL
https://t.co/B0oKNp64i1"	0
@SeanYoo the confidence of LA coyotes is admirable and horrifying	0
Basically he's paying off the coyote's and the lawyers. https://t.co/VkViB4GFcT	0
@Grimmy_Coyote Yeah. Every post just raises my serotonin SO much!	0
"@Grimmy_Coyote honestly ""Grimmy reviews werewolves"" is a fun segment that pairs well with the usual ""Grimmy gets beer-nerdy"" bit :3"	0
@ImmortalTech Gotta release them Coyotes and into the tunnels and subways of New York. They’ll eat up all them rats. Quick. Jus sayin https://t.co/6fthZX4NMR	
@CanaansDad1969 Oh okay. I heard bout that from neighbor. It’s a good turn for you. Clap __ __	
@CanaansDad1969 Maybe they are among those people we complain bout everyday __	
"The most magical moment on the preserve came as I was leaving. As the sun began setting a chorus of coyotes began to sing, and looking across the wide open expanse, I felt like I was getting a glimpse of how wild and mysterious this incredible grassland ecosystem would have been. https://t.co/GBqt6i2FI8"	
"Not sure if this #coyote was saying good #morning as I arrive to #stage or 
Yum that’s #lunch!!! #GoodMorning #world #RollSWAT https://t.co/TMFgzNrHCb"	
Our GSD and the coyote dog we're watching are in constant competition with each other in everything	
@KierstenWarren I got up around 5:00 am a few months ago and took my golden doodle out back to go outside.  It was so dark and I let him out the gate before seeing 5 coyotes in the green space.  I screamed and they ran off and I dragged him back inside!	
I think Luna Likes her new Table ____. https://t.co/kBRLsZDq15	
"@gates_mcfadden I’ve been so wondering how Rudi has been doing since his dramatic tree episode. If this were ‘Days of Our 9 Lives’, he’d be high on catnip &amp; explaining to the nurse how he doesn’t remember anything past the hi-speed coyote chase down the road."	
"Josie Cotton, Suzanne Tabata, Johnny ""Rotten"" Lydon, Ginger Coyote, Rocco going WILD at The Standard Hotel https://t.co/dZEEQ00xyu"	
@DDaddyMinaj @T00DLESGAL0RE You need to watch some Discovery channel so you can catch a clue on what would’ve happened to that dog had the owner not suplexed that coyote.	
Coyote pup I’ve seen lurking outside my apartment is growing into a fine young man https://t.co/4YZF6mOFhk	
@Doc_Coyote Even better! And there was some discussion about Key and Peele meeting some Universal Monsters at one point and even Jay And Silent Bob meet Hellraiser...	
Liz wouldn’t let me go near the coyotes in the rite aid parking lot this is my villain origin story	
Heard some coyotes yipping in the fog covered hills https://t.co/MxpCy2t82Y	
Coyotes win! First playoff win in school history! Our defense pitched a shut out!!! https://t.co/rMkBvDVVPQ	
"My Dawgz got to eat tonight!! Coyotes had a choice... ""make history, or be history"" ... We made made history! 
.
#ishscoyotes @ Indian Springs High School https://t.co/PpdC55eIP7"	
Adam Henrique had one goal and one assist in the Ducks' third-straight victory.  https://t.co/cmjXYILJY4	
I hope the coyotes get the 4th pick in the draft.	
@nicole_ramberg Even coyotes are celebrating Biden's win. __	
@HaleyAgee guh please don’t__ like u don’t have coyotes in ur backyard	
"End of 1st Quarter, Coyotes 0, Verbum Dei 0. @ Indian Springs High School https://t.co/46uJfhr2Il"	
2.  ...then...in the distance...a pack of coyotes started softly howling. Proper scary!! Family legged it! Leaving me to dowse the flames with a watering can filled from the pond...	
"@KierstenWarren Interesting aside, the coyote is the only “large” predator in the modern era, to expand its range into a separate sub-genus, the Eastern Coyote. (Time-Life told me this as a kid)…__"	
@dagger_actual coyote is a good name	
"__ These deer are so dear! We don't offer cookies to ____who visit our backyard, but we do let them feast on the rosebuds. (which they devour!) Yes, in metropolis of LA, we get deer, bobcats, raccoons, skunks &amp; coyotes. Happy to share - they were here first. #mydayinla https://t.co/SmVAaSCem7"	
"Cam slaps so hard on the coyote , I don’t think I can drive it without a task force pullin’ up __"	
@RexChapman Love it when I hike at Griffith Park I run into deer or coyotes (not so much for them rattlesnakes lol)	
"Calling all Coyotes!
Careers Representing America: STEM Diversity Career Fair https://t.co/m3WIFxTEqg"	
Happy Friday &amp; Happy Native American Month! Channel your inner #Coyote with #SpaceCoyote and enjoy Today’s 3.5g Flower &amp; Infused PreRoll #BOGO. Visit https://t.co/WmZGbHsFgq for all the details! __ https://t.co/mUX773jbug	
GAME DAY! Ducks takes on Coyotes tonight!! I’ll be at the game also #FlyTogether @savnhl @91_Pluty @annoyedducksfan @LBCHaloQuacks @sailorelijah @ItsJenJenM @JessicaMedinaa @beskarbby @Quackie_10 @CJKChel @lonninm @smith93jas @Ramirez35Sara @Rgonzo444 @josephlunar824 @zack_hamel9 https://t.co/2y6nF9HLyF	
@TimonicWulfgar Like... They live in a neighborhood with a lot of coyotes too. You picked wrong friends	
Tips to avoid coyote encounters https://t.co/q0QvsuTwMt	
@CentraliaSup @NatlBlueRibbon @lc_coyotes Absolutely!! That is the goal!!	
Thought I heard a dog being eaten by coyotes but then the sounds went away	
"The police sirens 
Trigger coyote howling
Alarming music

#haiku 

I need more sleep"	
"I had an amazing football coach when I was a freshman in high school, fresh to everything around me in sunny CA. Meant the world. Coach Coppola #CHS #Coyotes 

#ThanksCoach"	
@CJKChel @jnnyfrh A coyote in a shark onesie!!! ______	
"Current Coyote Entrepreneurs: Visit the link in our bio to sign up! At Lunch on Tuesday, November 9th we will provide you with a table to promote your small business or quarantine hobby. No Sales can take place, but you can advertise to increase your clientele! ____ https://t.co/y2Aqr3LRUU"	
"#KeithUrban's beautiful 1969 #FordMustang. 5.0-liter Coyote engine, #ROUSH supercharger, delivering 700 horsepower via a 10-speed auto transmission. Keith received the car in 2008 from #NicoleKidman as a present to celebrate their 2nd anniversary. #FordSEMA https://t.co/rEwWIU3zg3"	
City Council could green-light Los Coyotes Diagonal signal improvements  https://t.co/6K77qjvSAu	
"After 2 years of dark, quiet stadiums…the Coyote Pride was able to perform under the lights once again! And they did a fantastic job!! We received a 61.68 which is also the highest score we have EVER received on the field. That put us 2nd in our division and 7th (out of 9) bands https://t.co/r0fpvwL3mY"	
"@kainlumieres El Barrio Cantina, Gus Fried Chicken, Little Coyote, Robert Earls"	
"What are the odds of being on a __ to the @NatlBlueRibbon ceremony  &amp; hearing the voice of a young man say, “Is that face mask for @lc_coyotes?That’s my elementary school!”He then says, “My 6th gr. Teacher was Ms. Vey. Is she here?”__ #relationships!  #CESDproud!  @teachcardona https://t.co/mMQusWLvV1"	
@BaG_Coyote I'm safe thank you.. yea I hope so too	
We are thrilled to be at the @NatlBlueRibbon ceremony to receive the #nbrs2021 award for @lc_coyotes. https://t.co/pQC6GQzALB	
@Davenportant my neighbors have a coop. out here coyotes are the real chicken getters	
@eyeslikebadu What? You have buddies that coyotes	
@Coyote_Arts @Cherfan4ever1 @PplsCityCouncil @cher We can and should build tiny homes correctly. https://t.co/IkVsS2d0cM	
@Coyote_Arts @Cherfan4ever1 @PplsCityCouncil @cher LBCC is a 2yr community college. There is no on campus dorms. Maybe hook them up down the road at CSULB.	
The coyotes outside being a little too loud rn	
"@4jinxremoving See did not know that as living in a city - we have like coyotes, raccoons, squirrels etc.. but no deer unless I go up in the mountain areas more but do they touch them or something, it just seems odd that humans can give it to animals - I know a lot of zoo animals have been"	
"Happy Hump Day coyotes ! 
#CoyoteRadio FG https://t.co/v1QIKoAsVZ"	
Just saw a coyote in my neighborhood while walking Scout….and people still walk their dogs off leash here __	
Great job Coach Sun and Coyote Athletes!! https://t.co/dvYszTIb9Y	
"@KayinNasaki I think it takes some courage to implement a platformer-like game without physically impossible BS for jumps: no coyote time, no double jumps, no air control.  But there have to be advantages in the game being able to leverage your brain, and also no BS in the level design."	
Seeing coyotes in daylight hours is pretty unsettling __	
@StellarAntares @CassiusF0x @PNWorks This better have been at the Coyote Moon machine &gt;:3	
"NHL Highlights | Coyotes vs. Flyers - Nov. 2, 2021 - SPORTSNET
https://t.co/koIZxvUqxw"	
@ColeTheBlackCat I have to say I'm rorn. Proud of the brave cat but coyotes are going into communities because man is taken ng away their habitat! Coyotes shouldn't starve because of man's greed!!	
@FriesFootball @NickOlsonNFL They have tried like 4 different things lol. Klint Kubiak is wile e coyote chasing a 2019 bootleg strike with increasingly galaxy brain ideas	
Get Discounted Tickets to come out to Honda Center in Anaheim on Friday Night to see the Ducks Face Off against the Arizona Coyotes #ducks #coyotes #arizonacoyotes #anaheimducks #anaheim #arizona #longbeach #coasttickets #tickets #duckstickets #hondacenterhttps://conta.cc/3wo30LD https://t.co/ICNlKARBS7	
@wizkhalifa The Coyotes are worse so damn loud!	
"@OnlineAlison Several comments later…
“I feed the coyotes!”"	
@TheOGpianoGeek That her COYOTE dues are late...	
"my poem “Baja”
whale bones in the desert, coyotes in the sea - If I’m not back within six weeks please don’t rescue me https://t.co/CZD93niYhy"	
"Coyotes @ Flyers 11/2/21 | NHL Highlights - NHL
https://t.co/guP6XqeCQE"	
"This sign messaging is excellent. 
New coyote warning signs being erected in Richmond https://t.co/18PAen4nFU via @TheRichmondNews"	
@kirst_alyssa Move the coyotes to Quebec where they will do better	
I JUST WATCHED A COUPLE LEAVE THEIR CRIB FOR A WALK AND GOT FOLLOWED BY 2 COYOTES LIKE RIGHT IN THEIR TRACKS LMFAOOOOL	
@dee_coyote I am causing problems on purpose.	
"@Davidlaz And yes, sometimes prey is prey. My feline best friend was snatched by a coyote. I choose to remember her ""cross animal"" connections."	
"Coyotes Football Playoff Tickets on sale now, online only.    This Friday, November 5, 2021 at Indian Springs  High School vs Verbum Dei.  7:00pm Kickoff. GO COYOTES! https://t.co/fTKqtY9ES0"	
@Southernvaper1 This is what I mean by playing with Eli. He never actually bit me. No pain. Just blood and stains on my shirts. But Eli has killed a coyote with a single bite to the neck. He is a badass dog. I love playing with him. It always ends with Eli on his back &amp; me rubbing his belly. https://t.co/ID8YPw2qGF	
Attention Coyote CCP Elective students! The Achieve 3000 Fall Reading Challenge begins soon. https://t.co/vtCU2hKYEK	
@PHNX_Coyotes Melker Karlsson of SJ is the Melk Man. We’re not stealing someone else’s nickname.	
"The CSUSB 2021 Festival de Calaveras will be hosted by the Robert and Frances Fullerton Museum of Art (RAFFMA) on Saturday, Nov. 6 from 11 am - 4 pm. 

Coyote Radio will be in attendance with prizes, giveaways, and playing local bands! 

@RAFFMAcsusb @CSUSBALFSS @ALFSSCSUSB https://t.co/HfBc7hYC05"	
"To the guy that I saw in the Selanne Mighty Ducks jersey at the Flyers Coyotes game, sup?!?"	
"We are pleased to introduce the @KuceraCoyotes' brand new esports lab, a first of its kind in the RUSD!

Kucera MS launched its state-of-the-art lab with a grand opening ceremony today. The Coyote students were eager to walk through the doors and start gaming! _____ https://t.co/419kACDumz"	
"Heads up folks, probably won't be that active during the Ducks game seeing as I will be at the Flyers Coyotes game tonight!"	
@Coyote_Prettyy That man gets by on luck alone	
"From Great Pyrenees Customer  Bren and Jeff C

Maggie is a big girl. Scared her first coyote away at 4 months. We praised her very much. We were right there with her with our chihuahuas https://t.co/PKK7ijKyog"	
@asaprajy @TheRewatchables @BillSimmons @ChrisRyan77 I dunno. Michael Mann is the one director who consistently makes his movies worse when talking about them. At a screening in Oct he revealed the coyote scene in Collateral was produced and not an accident. COME ON dude! Everyone thought that was such a cool story. Now its gone.	
@MrcoLeK @Wiley_Coyote_G lmaoo im bouta bxb you both ____	
the los feliz coyotes are OUT tonight	
"@myBurbankNEWS Sounds like same 1 I've been seeing off Alameda &amp; Main, then off Verdugo &amp; Victory. Are we supposed 2 contact Animal Control when we see 1? I've avoided Griffith Park Mineral Wells area since coyote charged at me w/ med size dog a month ago. Luckily car nearby honked 2 scare it."	
